slot_id,turf_name,sport,date,day_of_week,time_slot,lead_time_hrs,base_price,cost_to_operate,historical_fill_rate,status,tags
S1001,Apex Arena,Football,2026-09-14,Monday,08:00-09:00,6,1000.0,360.0,0.51,booked,"weekday, regular"
S1002,Apex Arena,Football,2026-09-14,Monday,09:00-10:00,4,1200.0,470.0,0.47,booked,"weekday, regular"
S1003,Apex Arena,Football,2026-09-14,Monday,14:00-15:00,72,1150.0,470.0,0.33,vacant,"weekday, low-demand, afternoon, low-fill"
S1004,Apex Arena,Cricket,2026-09-14,Monday,20:00-21:00,18,1200.0,470.0,0.92,vacant,"weekday, peak"
S1005,Velocity Turf,Basketball,2026-09-14,Monday,08:00-09:00,24,800.0,260.0,0.47,vacant,"weekday, regular"
S1006,Velocity Turf,Basketball,2026-09-14,Monday,12:00-13:00,24,750.0,250.0,0.26,vacant,"weekday, low-demand, afternoon, low-fill"
S1007,Velocity Turf,Football,2026-09-14,Monday,15:00-16:00,6,1250.0,490.0,0.39,booked,"weekday, low-demand, afternoon, low-fill"
S1008,Velocity Turf,Basketball,2026-09-14,Monday,16:00-17:00,24,750.0,270.0,0.33,vacant,"weekday, low-demand, afternoon, low-fill"
S1009,Champions Court,Basketball,2026-09-14,Monday,08:00-09:00,6,750.0,290.0,0.45,vacant,"weekday, regular"
S1010,Champions Court,Basketball,2026-09-14,Monday,09:00-10:00,24,900.0,280.0,0.51,vacant,"weekday, regular"
S1011,Champions Court,Basketball,2026-09-14,Monday,13:00-14:00,8,750.0,270.0,0.25,vacant,"weekday, low-demand, afternoon, low-fill"
S1012,Champions Court,Badminton,2026-09-14,Monday,21:00-22:00,18,600.0,210.0,0.76,vacant,"weekday, peak"
S1013,Apex Arena,Football,2026-09-15,Tuesday,13:00-14:00,24,1000.0,430.0,0.3,vacant,"weekday, low-demand, afternoon, low-fill"
S1014,Apex Arena,Football,2026-09-15,Tuesday,15:00-16:00,24,1000.0,440.0,0.15,vacant,"weekday, low-demand, afternoon, low-fill"
S1015,Apex Arena,Cricket,2026-09-15,Tuesday,18:00-19:00,48,1300.0,570.0,0.66,booked,"weekday, peak"
S1016,Apex Arena,Football,2026-09-15,Tuesday,20:00-21:00,72,1050.0,450.0,0.76,booked,"weekday, peak"
S1017,Velocity Turf,Basketball,2026-09-15,Tuesday,16:00-17:00,8,800.0,320.0,0.21,vacant,"weekday, low-demand, afternoon, low-fill"
S1018,Velocity Turf,Football,2026-09-15,Tuesday,19:00-20:00,6,1300.0,460.0,0.83,booked,"weekday, peak"
S1019,Velocity Turf,Football,2026-09-15,Tuesday,20:00-21:00,6,1250.0,490.0,0.73,booked,"weekday, peak"
S1020,Velocity Turf,Basketball,2026-09-15,Tuesday,21:00-22:00,72,950.0,310.0,0.69,vacant,"weekday, peak"
S1021,Champions Court,Basketball,2026-09-15,Tuesday,08:00-09:00,36,850.0,260.0,0.57,vacant,"weekday, regular"
S1022,Champions Court,Badminton,2026-09-15,Tuesday,09:00-10:00,8,650.0,260.0,0.47,booked,"weekday, regular"
S1023,Champions Court,Badminton,2026-09-15,Tuesday,18:00-19:00,72,650.0,250.0,0.81,booked,"weekday, peak"
S1024,Champions Court,Badminton,2026-09-15,Tuesday,20:00-21:00,72,700.0,260.0,0.69,vacant,"weekday, peak"
S1025,Apex Arena,Cricket,2026-09-16,Wednesday,08:00-09:00,24,1100.0,400.0,0.45,booked,"weekday, regular"
S1026,Apex Arena,Cricket,2026-09-16,Wednesday,15:00-16:00,6,1200.0,430.0,0.29,vacant,"weekday, low-demand, afternoon, low-fill"
S1027,Apex Arena,Cricket,2026-09-16,Wednesday,18:00-19:00,72,1150.0,510.0,0.71,booked,"weekday, peak"
S1028,Apex Arena,Football,2026-09-16,Wednesday,19:00-20:00,72,1250.0,500.0,0.83,booked,"weekday, peak"
S1029,Velocity Turf,Football,2026-09-16,Wednesday,13:00-14:00,24,1250.0,480.0,0.24,vacant,"weekday, low-demand, afternoon, low-fill"
S1030,Velocity Turf,Basketball,2026-09-16,Wednesday,16:00-17:00,6,750.0,240.0,0.26,vacant,"weekday, low-demand, afternoon, low-fill"
S1031,Velocity Turf,Football,2026-09-16,Wednesday,18:00-19:00,6,1200.0,450.0,0.75,booked,"weekday, peak"
S1032,Velocity Turf,Football,2026-09-16,Wednesday,19:00-20:00,4,1000.0,360.0,0.95,vacant,"weekday, peak"
